ZIP CODE,Driver Inattention,Failure to Yield,Following Too Closely,Improper Lane Usage,Unsafe Lane Change,Unsafe Speed
11225.0,498.0,128.0,174.0,89.0,53.0,21.0
11226,41.0,17.0,,2.0,,
11226.0,557.0,246.0,239.0,191.0,76.0,44.0
11228,11.0,15.0,1.0,,,
11228.0,223.0,122.0,141.0,58.0,9.0,15.0
11229,53.0,38.0,,,,
11229.0,466.0,239.0,97.0,62.0,35.0,64.0
11230,43.0,24.0,,,,1.0
11230.0,629.0,139.0,148.0,118.0,75.0,12.0
11231,15.0,1.0,,,,
11231.0,189.0,67.0,39.0,17.0,24.0,22.0
11232,33.0,11.0,,,,
11232.0,106.0,89.0,88.0,51.0,45.0,4.0
11233,69.0,25.0,,,,
11233.0,635.0,136.0,212.0,65.0,78.0,55.0
11234,21.0,52.0,2.0,,,
11234.0,540.0,380.0,259.0,30.0,107.0,125.0
11235,51.0,47.0,2.0,,,
11235.0,632.0,305.0,143.0,104.0,54.0,78.0
11236,115.0,72.0,1.0,,,1.0
11236.0,820.0,262.0,92.0,68.0,27.0,122.0
11237,12.0,12.0,,,,
11237.0,281.0,140.0,78.0,64.0,,60.0
11238,51.0,8.0,1.0,,1.0,
11238.0,344.0,101.0,151.0,19.0,22.0,20.0
11239,14.0,2.0,,,,
11239.0,117.0,38.0,12.0,14.0,,21.0
11249,9.0,17.0,,,,
11249.0,153.0,82.0,93.0,43.0,,19.0
11354,27.0,12.0,,,1.0,
11354.0,68.0,546.0,402.0,284.0,75.0,31.0
11355,17.0,36.0,3.0,,,
11355.0,99.0,588.0,211.0,215.0,49.0,25.0
11356,3.0,7.0,,,,
11356.0,12.0,134.0,25.0,42.0,,28.0
11357,8.0,15.0,,,,
11357.0,37.0,197.0,49.0,48.0,16.0,74.0
11358,17.0,36.0,,,,
11358.0,159.0,248.0,117.0,50.0,22.0,17.0
11360,,1.0,,,,
11360.0,23.0,54.0,46.0,26.0,5.0,5.0
11361,16.0,30.0,,2.0,,
11361.0,239.0,148.0,56.0,36.0,32.0,4.0
11362,10.0,14.0,,,,
11362.0,125.0,57.0,40.0,8.0,30.0,14.0
11363,2.0,10.0,,,,
11363.0,77.0,16.0,65.0,9.0,5.0,7.0
11364,14.0,36.0,,,,
11364.0,165.0,92.0,57.0,22.0,4.0,4.0
11365,10.0,16.0,2.0,,,
11365.0,261.0,112.0,73.0,8.0,13.0,15.0
11366,24.0,20.0,,,,
11366.0,304.0,33.0,39.0,31.0,12.0,4.0
11367,39.0,27.0,,,,
11367.0,383.0,124.0,58.0,13.0,23.0,
11368,39.0,19.0,,,,2.0
